127.0.0.1 - - [01/Jul/2017:22:41:16 -0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [01/Jul/2017:22:41:18 -0800] "GET /ClassyMissyFrontend/ HTTP/1.1" 200 2258
0:0:0:0:0:0:0:1 - - [01/Jul/2017:22:41:45 -0800] "GET /ClassyMissyFrontend/ HTTP/1.1" 200 2258
0:0:0:0:0:0:0:1 - - [01/Jul/2017:22:41:45 -0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [01/Jul/2017:22:41:45 -0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [01/Jul/2017:22:42:00 -0800] "GET /ClassyMissyFrontend/Category HTTP/1.1" 200 4275
0:0:0:0:0:0:0:1 - - [01/Jul/2017:22:42:06 -0800] "GET /ClassyMissyFrontend/displayProduct HTTP/1.1" 200 4322
0:0:0:0:0:0:0:1 - - [01/Jul/2017:22:42:06 -0800] "GET /ClassyMissyFrontend/resources/images/1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [01/Jul/2017:22:42:06 -0800] "GET /ClassyMissyFrontend/resources/images/4.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [01/Jul/2017:22:42:06 -0800] "GET /ClassyMissyFrontend/resources/images/11.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [01/Jul/2017:22:42:06 -0800] "GET /ClassyMissyFrontend/resources/images/12.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [01/Jul/2017:22:42:06 -0800] "GET /ClassyMissyFrontend/resources/images/10.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [01/Jul/2017:22:42:06 -0800] "GET /ClassyMissyFrontend/resources/images/2.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [01/Jul/2017:22:42:06 -0800] "GET /ClassyMissyFrontend/resources/images/5.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [01/Jul/2017:22:42:06 -0800] "GET /ClassyMissyFrontend/resources/images/9.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [01/Jul/2017:22:42:07 -0800] "GET /ClassyMissyFrontend/resources/images/1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [01/Jul/2017:22:42:07 -0800] "GET /ClassyMissyFrontend/resources/images/2.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [01/Jul/2017:22:42:07 -0800] "GET /ClassyMissyFrontend/resources/images/5.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [01/Jul/2017:22:42:07 -0800] "GET /ClassyMissyFrontend/resources/images/4.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [01/Jul/2017:22:42:07 -0800] "GET /ClassyMissyFrontend/resources/images/11.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [01/Jul/2017:22:42:07 -0800] "GET /ClassyMissyFrontend/resources/images/9.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [01/Jul/2017:22:42:07 -0800] "GET /ClassyMissyFrontend/resources/images/12.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [01/Jul/2017:22:42:07 -0800] "GET /ClassyMissyFrontend/resources/images/10.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [01/Jul/2017:22:42:07 -0800] "GET /ClassyMissyFrontend/resources/images/15.jpg HTTP/1.1" 200 14032
0:0:0:0:0:0:0:1 - - [01/Jul/2017:22:42:07 -0800] "GET /ClassyMissyFrontend/resources/images/13.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2017:22:43:53 -0800] "GET /ClassyMissyFrontend/ HTTP/1.1" 200 2260
0:0:0:0:0:0:0:1 - - [01/Jul/2017:22:44:40 -0800] "GET /ClassyMissyFrontend/ HTTP/1.1" 200 2262
0:0:0:0:0:0:0:1 - - [01/Jul/2017:22:47:16 -0800] "GET /ClassyMissyFrontend/ HTTP/1.1" 200 2260
0:0:0:0:0:0:0:1 - - [01/Jul/2017:22:47:40 -0800] "GET /ClassyMissyFrontend/ HTTP/1.1" 200 2260
0:0:0:0:0:0:0:1 - - [01/Jul/2017:22:48:13 -0800] "GET /ClassyMissyFrontend/ HTTP/1.1" 200 2260
0:0:0:0:0:0:0:1 - - [01/Jul/2017:22:48:38 -0800] "GET /ClassyMissyFrontend/ HTTP/1.1" 200 2181
0:0:0:0:0:0:0:1 - - [01/Jul/2017:22:50:35 -0800] "GET /ClassyMissyFrontend/ HTTP/1.1" 200 2270
0:0:0:0:0:0:0:1 - - [01/Jul/2017:22:51:20 -0800] "GET /ClassyMissyFrontend/ HTTP/1.1" 200 2270
0:0:0:0:0:0:0:1 - - [01/Jul/2017:22:51:34 -0800] "GET /ClassyMissyFrontend/ HTTP/1.1" 200 2181
0:0:0:0:0:0:0:1 - - [01/Jul/2017:22:55:20 -0800] "GET /ClassyMissyFrontend/ HTTP/1.1" 200 2486
