127.0.0.1 - - [02/Jul/2017:12:22:05 -0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [02/Jul/2017:12:22:13 -0800] "GET /ClassyMissyFrontend/ HTTP/1.1" 200 2181
0:0:0:0:0:0:0:1 - - [02/Jul/2017:12:22:31 -0800] "GET /ClassyMissyFrontend/ HTTP/1.1" 200 2181
0:0:0:0:0:0:0:1 - - [02/Jul/2017:12:22:32 -0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [02/Jul/2017:12:22:32 -0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [02/Jul/2017:12:22:40 -0800] "GET /ClassyMissyFrontend/Product HTTP/1.1" 200 5954
0:0:0:0:0:0:0:1 - - [02/Jul/2017:12:22:51 -0800] "GET /ClassyMissyFrontend/updateProduct/4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jul/2017:12:22:51 -0800] "GET /ClassyMissyFrontend/Product HTTP/1.1" 200 5954
0:0:0:0:0:0:0:1 - - [02/Jul/2017:12:23:10 -0800] "GET /ClassyMissyFrontend/updateProduct/4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jul/2017:12:23:10 -0800] "GET /ClassyMissyFrontend/Product HTTP/1.1" 200 5954
0:0:0:0:0:0:0:1 - - [02/Jul/2017:12:24:43 -0800] "GET /ClassyMissyFrontend/ContactUs.jsp HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [02/Jul/2017:13:17:09 -0800] "GET /ClassyMissyFrontend/Product HTTP/1.1" 200 5942
0:0:0:0:0:0:0:1 - - [02/Jul/2017:13:17:13 -0800] "GET /ClassyMissyFrontend/ContactUs HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jul/2017:13:18:15 -0800] "GET /ClassyMissyFrontend/AboutUs HTTP/1.1" 200 4041
0:0:0:0:0:0:0:1 - - [02/Jul/2017:13:24:54 -0800] "GET /ClassyMissyFrontend/AboutUs HTTP/1.1" 200 4041
0:0:0:0:0:0:0:1 - - [02/Jul/2017:13:34:29 -0800] "GET /ClassyMissyFrontend/ContactUs HTTP/1.1" 200 3255
0:0:0:0:0:0:0:1 - - [02/Jul/2017:13:36:47 -0800] "GET /ClassyMissyFrontend/AboutUs HTTP/1.1" 200 4041
0:0:0:0:0:0:0:1 - - [02/Jul/2017:13:37:38 -0800] "GET /ClassyMissyFrontend/AboutUs HTTP/1.1" 200 4041
0:0:0:0:0:0:0:1 - - [02/Jul/2017:13:37:55 -0800] "GET /ClassyMissyFrontend/ContactUs HTTP/1.1" 200 5255
0:0:0:0:0:0:0:1 - - [02/Jul/2017:13:38:11 -0800] "GET /ClassyMissyFrontend/SignIn HTTP/1.1" 200 4759
0:0:0:0:0:0:0:1 - - [02/Jul/2017:13:38:33 -0800] "GET /ClassyMissyFrontend/Register HTTP/1.1" 200 5981
0:0:0:0:0:0:0:1 - - [02/Jul/2017:13:38:33 -0800] "GET /ClassyMissyFrontend/Register HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [02/Jul/2017:13:38:33 -0800] "GET /ClassyMissyFrontend/Register.css HTTP/1.1" 200 5981
0:0:0:0:0:0:0:1 - - [02/Jul/2017:13:38:35 -0800] "GET /ClassyMissyFrontend/css/bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jul/2017:13:38:35 -0800] "GET /ClassyMissyFrontend/js/bootstrap.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jul/2017:13:38:35 -0800] "GET /ClassyMissyFrontend/style.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jul/2017:13:38:39 -0800] "GET /ClassyMissyFrontend/style.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jul/2017:13:38:39 -0800] "GET /ClassyMissyFrontend/css/bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jul/2017:13:38:48 -0800] "GET /ClassyMissyFrontend/js/bootstrap.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jul/2017:14:20:49 -0800] "GET /ClassyMissyFrontend/SignIn.jsp HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [02/Jul/2017:14:22:24 -0800] "GET /ClassyMissyFrontend/SignIn.jsp HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [02/Jul/2017:14:22:25 -0800] "GET /ClassyMissyFrontend/SignIn.jsp HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [02/Jul/2017:14:22:26 -0800] "GET /ClassyMissyFrontend/SignIn.jsp HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [02/Jul/2017:14:22:27 -0800] "GET /ClassyMissyFrontend/SignIn.jsp HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [02/Jul/2017:14:22:44 -0800] "GET /ClassyMissyFrontend/SignIn.jsp HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [02/Jul/2017:14:23:34 -0800] "GET /ClassyMissyFrontend/SignIn.jsp HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [02/Jul/2017:14:23:43 -0800] "GET /ClassyMissyFrontend/Register HTTP/1.1" 200 5977
0:0:0:0:0:0:0:1 - - [02/Jul/2017:14:23:43 -0800] "GET /ClassyMissyFrontend/css/bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jul/2017:14:23:43 -0800] "GET /ClassyMissyFrontend/style.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jul/2017:14:23:43 -0800] "GET /ClassyMissyFrontend/Register.css HTTP/1.1" 200 5977
0:0:0:0:0:0:0:1 - - [02/Jul/2017:14:23:43 -0800] "GET /ClassyMissyFrontend/js/bootstrap.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jul/2017:14:23:49 -0800] "GET /ClassyMissyFrontend/css/bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jul/2017:14:23:49 -0800] "GET /ClassyMissyFrontend/style.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jul/2017:14:23:49 -0800] "GET /ClassyMissyFrontend/js/bootstrap.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jul/2017:14:24:17 -0800] "GET /ClassyMissyFrontend/SignIn HTTP/1.1" 200 4759
0:0:0:0:0:0:0:1 - - [02/Jul/2017:14:25:01 -0800] "POST /login/ HTTP/1.1" 404 1006
0:0:0:0:0:0:0:1 - - [02/Jul/2017:14:26:39 -0800] "GET /ClassyMissyFrontend/Register HTTP/1.1" 200 5977
0:0:0:0:0:0:0:1 - - [02/Jul/2017:14:26:39 -0800] "GET /ClassyMissyFrontend/Register.css HTTP/1.1" 200 5977
0:0:0:0:0:0:0:1 - - [02/Jul/2017:14:26:39 -0800] "GET /ClassyMissyFrontend/css/bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jul/2017:14:26:39 -0800] "GET /ClassyMissyFrontend/style.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jul/2017:14:26:39 -0800] "GET /ClassyMissyFrontend/js/bootstrap.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jul/2017:14:26:40 -0800] "GET /ClassyMissyFrontend/style.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jul/2017:14:26:40 -0800] "GET /ClassyMissyFrontend/css/bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jul/2017:14:26:40 -0800] "GET /ClassyMissyFrontend/js/bootstrap.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jul/2017:14:26:43 -0800] "GET /ClassyMissyFrontend/SignIn HTTP/1.1" 200 4773
0:0:0:0:0:0:0:1 - - [02/Jul/2017:14:27:02 -0800] "POST /login/ HTTP/1.1" 404 1006
0:0:0:0:0:0:0:1 - - [02/Jul/2017:14:40:03 -0800] "GET /ClassyMissyFrontend/SignIn HTTP/1.1" 200 4773
0:0:0:0:0:0:0:1 - - [02/Jul/2017:14:40:32 -0800] "POST /login/ HTTP/1.1" 404 1006
